name,short
Állatorvostudományi Egyetem,ÁTE
Andrássy Gyula Budapesti Német Nyelvű Egyetem,ANNYE
Budapesti Corvinus Egyetem,BCE
Budapesti Gazdasági Egyetem,BGE
Budapesti Metropolitan Egyetem,METU
Budapesti Műszaki és Gazdaságtudományi Egyetem,BME
Debreceni Egyetem,DE
Debreceni Református Hittudományi Egyetem,DRHE
Dunaújvárosi Egyetem,DUE
Edutus Egyetem,EDUTUS
Eötvös Loránd Tudományegyetem,ELTE
Eszterházy Károly Egyetem,EKE
Evangélikus Hittudományi Egyetem,EHE
Gál Ferenc Egyetem,GFE
Károli Gáspár Református Egyetem,KRE
Kodolányi János Egyetem,KJE
Közép-európai Egyetem,CEU
Liszt Ferenc Zeneművészeti Egyetem,LFZE
Magyar Képzőművészeti Egyetem,MKE
Magyar Táncművészeti Egyetem,MTE
Milton Friedman Egyetem,MILTON
Miskolci Egyetem,ME
Moholy-Nagy Művészeti Egyetem,MOME
Nemzeti Közszolgálati Egyetem,NKE
Neumann János Egyetem,NJE
Nyíregyházi Egyetem,NYE
Óbudai Egyetem,OE
Országos Rabbiképző – Zsidó Egyetem,OR-ZSE
Pannon Egyetem,PE
Pázmány Péter Katolikus Egyetem,PPKE
Pécsi Tudományegyetem,PTE
Semmelweis Egyetem,SE
Soproni Egyetem,SOE
Szent István Egyetem,SZIE
Széchenyi István Egyetem,SZE
Színház- és Filmművészeti Egyetem,SZFE
Szegedi Tudományegyetem,SZTE